Λίστες Δεδομένων,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Συμφωνημένη Ισχύς,Τιμολόγια Οικιακά,Περίοδος Κατανάλωσης,Επίπεδο τάσης,Τιμολόγια Εμπορικά,Περίοδος Κατανάλωσης Εμπορικά και μέση τάση,Τιμολόγια Μέσης Τάσης,Είδος οροφής,Προσανατολισμός,Επιλογές απάντησης,Καύσιμο,Επιτόκιο δανείου,Έτη αποπληρωμής
8,Γ1,Πρωί-Μεσημέρι,Χαμηλή Τάση,Γ21,Πρωί-Μεσημέρι,Εμπορικό,Ταράτσα,Α,Ναι,Βενζίνη,0.035,4
12,Γ1Ν,Απόγευμα-Βράδυ,Μέση Tάση,Γ22,Απόγευμα-Βράδυ,Βιομηχανικό,Στέγη,ΝΑ,Όχι,Πετρέλαιο,0.04,5
15,,,,Γ23,Όλη την ημέρα,,,Ν,,Υγραέριο,0.05,6
25,,,,,,,,ΝΔ,,,0.06,7
35,,,,,,,,Δ,,,0.07,8
55,,,,,,,,,,,0.08,9
85,,,,,,,,,,,0.09,10
135,,,,,,,,,,,0.1,
250,,,,,,,,,,,,
,Περιφέρεια,παραγωγή φ/β,,,Κατηγορία καταναλωτών,,,,,,,
,Ανατολική Μακεδονία και Θράκη,1400,,,Κατοικία,,,,,,,
,Κεντρική Μακεδονία,1400,,,Επιχείρηση χαμηλής τάσης,,,,,,,
,Δυτική Μακεδονία,1400,,,Μέση τάση,,,,,,,
,Ήπειρος,1450,,,,,,,,,,
,Θεσσαλία,1450,,,,,,,,,,
,Ιόνιοι Νήσοι,1550,,,,,,,,,,
,Δυτική Ελλάδα,1550,,,,,,,,,,
,Στερεά Ελλάδα,1450,,,,,,,,,,
,Αττική,1550,,,,,,,,,,
,Πελοπόννησος,1500,,,,,,,,,,
,Βόρειο Αιγαίο,1400,,,,,,,,,,
,Νότιο Αιγαίο,1600,,,,,,,,,,
,Κρήτη,1600,,,,,,,,,,
